Branch Code,GSTIN,Branch Address
321,3XXXXXXXXXXXXXP,"NEVILLE TWR,1ST,3RD,6TH & 7TH FLR,,LITTLEWOOD TWR,,
											6 FLR,SEZ UT 1,TRIA INFO PARK  RG SALAI ,
											TARAMANI,TAMIL NADU,600113"
188,2XXXXXXXXXXXXXH,"L CENTRE, PLOT NO.78,79 & 83,EPIP, INDL AREA,,
											WHITEFIELD ROAD, ,
											BANGALORE,KARNATAKA,560066"
154,2XXXXXXXXXXXXXH,"NO. 18, SJM TOWERS, SHESHADRI RD,,
											GANDHINAGAR, ,
											BANGALORE,KARNATAKA,560009"
404,3XXXXXXXXXXXXXL,"SEZ UNIT 2, SDB2, ADIBATLA VILLAGE,,
											IBRAHIMPATNAM MANDAL, RANGA REDDY DISTRICT, ,
											TELANGANA,TELANGANA,501510"
34,0XXXXXXXXXXXXXJ,"PLOT NO. 447, PHASE V, UDYOG VIHAR,
											GURGAON, HARYANA ,
											GURGAON,HARYANA,122016"
429,2XXXXXXXXXXXXXK,"UNIT II PLOT NO 1 SECTOR 12,,
											MIHAN SEZ ,
											NAGPUR,MAHARASHTRA,441108"
272,2XXXXXXXXXXXXXR,"1ST AND  2ND FLOOR, RAMESHWAR BLDG,,
											OM BUSINESS PARK, OPP. BALAJI HOSPITAL ,
											ELLORA PARK SUBHANPURA,GUJARAT,390023"
367,2XXXXXXXXXXXXXR,"6TH FLR,PREMIER HOUSE-1,PLOT. 406/2,,
											BODAKDEV SARKHEJ, GANDHINAGAR HWAY ,
											AHMADABAD,GUJARAT,380054"
307,1XXXXXXXXXXXXXI,"ECOSPACE NEWTOWN, BUILDING,2A, FLOOR-2,3 & 4,,
											IIF/12 NEW TOWN, RAJARHAT KOLKATA, ,
											KOLKATA,WEST BENGAL,700160"
248,3XXXXXXXXXXXXXU,"Peepul Park, Technopark Campus,,
											Kariyavattom PO, Thiruvananthapuram, ,
											KARIAVATTAM,KERALA,695581"
431,2XXXXXXXXXXXXXK,"UNIT-I OLYMPUS B GR TO 20TH FL,
											ROMA,BUILDER P L ITES SEZ OFF GHODBUNDER RD KAVESAR ,
											THANE WEST,MAHARASHTRA,400607"
369,3XXXXXXXXXXXXXM,"CMC CENTRE, OLD MUMBAI HIGHWAY,,
											GACHIBOWLI, HYDERABAD, TELANGANA ,
											HYDERABAD,TELANGANA,500032"
403,3XXXXXXXXXXXXXP,"UNIT III, IG3 INFRA LTD, 200 FEET,,,
											THORAIPAKKAM PALLAVARAM RING ROAD, ,
											THORAIPAKKAM,TAMIL NADU,600097"
415,2XXXXXXXXXXXXXK,"PLOT NO 5, MIDC SEZ, RAJIV GANDHI,
											INFOTECH PARK, HINJEWADI PHASE III, ,
											PUNE,MAHARASHTRA,411057"
323,2XXXXXXXXXXXXXV,"UNIT-II, BARBATI SEZ, IT/ITES, 35, CHANDAKA INDL. EST,,
											CHANDRASEKHARPUR, BHUBANESWAR ,
											BHUBANESWAR ORRISA,ODISHA,751024"
287,3XXXXXXXXXXXXXL,"SEZ UNIT II AT SYNERGY PARK PREMISE,,
											S NO. 2-56/1/36, SY NO. 26, GACHIBOWLI SERLINGAMPALLY MANDAL ,
											R R DIST TELANGANA,TELANGANA,500032"
421,2XXXXXXXXXXXXXG,"SEZ Unit VII, MTB4/MTB5 - Anchor Building & Anchor Annex building,,
											ITPL SEZ, ,
											WHITEFIELD ROAD,KARNATAKA,560066"
27,3XXXXXXXXXXXXXR,"415/21-24, KUMARAN NAGAR,,,
											NALLUR, OLD, SHOLINGANALLUR, OLD ,
											MAHABALIPURAM,TAMIL NADU,600119"
290,2XXXXXXXXXXXXXK,"UNIT NO IT-9, 10 & 11 SDF VII & PLOT NO 54,,
											SEEPZ SEZ, ANDHERI EAST, ,
											MUMBAI,MAHARASHTRA,400096"
346,0XXXXXXXXXXXXXJ,"PLOT NO. A-44 & A-45, GR., 1ST TO 5TH FLR & 9TH; 10TH FLR,,
											BLOCK-C ; D, SEC-62 ,
											NOIDA,UTTAR PRADESH,201309"
400,0XXXXXXXXXXXXXJ,"GROUND, 1ST TO 8TH FLOORS, TOWER 2,,
											OKAYA CENTRE, PLOT NO B5, SECTOR 6 ,
											NOIDA,UTTAR PRADESH,201309"
157,0XXXXXXXXXXXXXJ,"C-56, PHASE II, NOIDA,
											NOIDA, UTTAR PRADESH ,
											NOIDA,UTTAR PRADESH,201305"
433,0XXXXXXXXXXXXXI,"SEZ UN-1 SOFTWR DEV BLK TWR-1 TO 5,,
											IDC & UTILITY BLK  PLOT 1 SEC 157 ITE ,
											NOIDA,UTTAR PRADESH,201310"
437,3XXXXXXXXXXXXXO,"DVLPR PL H-11/1B, H-11/1C & H-11 /2,,
											SIPCOT IT PARK SIRUSERI, EGATTUR VILLAGE ,
											Egattur Village,TAMIL NADU,603103"
191,2XXXXXXXXXXXXXK,"SEEPZ,,
											SEEPZ,, ANDHERI EAST, ,
											MUMBAI,MAHARASHTRA,400096"
304,2XXXXXXXXXXXXXP,"SEZ UNIT, PLOT NO.41, PHASE-1,,
											IT/ITES - SEZ, GARIMA PARK, ,
											GANDHINAGAR,GUJARAT,382010"
364,1XXXXXXXXXXXXXI,"28, CAMAC STREET,,
											 ,
											KOLKATA,WEST BENGAL,700016"
371,2XXXXXXXXXXXXXL,"CMC HOUSE, C-18, BANDRA,KURLA COMPLEX,,
											BANDRA EAST, ,
											MUMBAI,MAHARASHTRA,400051"
292,2XXXXXXXXXXXXXG,"GOPALAN ENTERPRISES PVT.LTD GLOBAL,AXIS SEZ,PLOT NO.152,,
											EPIP INDL AREA HOODY VILLAGE K R PURAM ,
											HOBLI BANGALORE,KARNATAKA,560061"
277,1XXXXXXXXXXXXXG,"U H-T S LTD. IT/ITES  SEZ, BLK-A, 5, 6 & 7TH FLRS.,
											TOWER-AI, AII & AIII, PLOT I, ACTION AREA ,
											KOLKATA,WEST BENGAL,700160"
211,3XXXXXXXXXXXXXY,"17 B, TIVIM INDL.ESTATE,,,
											KARASWADA, MAPUSA, ,
											GOA,GOA,403526"
289,0XXXXXXXXXXXXXI,"4TH TO 7TH FLOORS, BLDG.-B2, PLOT NO, 20 7 21,,
											SECTOR-135, SEAVIEW DEVELOPERS LTD SEZ ,
											NOIDA,UTTAR PRADESH,201301"
184,3XXXXXXXXXXXXXM,"PLOT NO. 1, JUBILEE GARDEN,,
											KONDAPUR, CYBERBAD, HYDERABAD, ,
											HYDERABAD,TELANGANA,500081"
281,3XXXXXXXXXXXXXP,"CHENAI ONE SEZ UNIT 2,IG3 INFRA LTD,SEZ,,
											200 FT. THORAIPAKKAM-PALLAVRAM RING RD ,
											THORAIPAKKAM,TAMIL NADU,600097"
409,3XXXXXXXXXXXXXR,"2ND FLOOR IN BLOCK A, KANAGAM ROAD,,
											IITM RESEARCH PARK BLDG, PHASE II ,
											TARAMANI,TAMIL NADU,600113"
441,1XXXXXXXXXXXXXI,"Technopolis Building, Gr. & 12th. Floor.,
											Plot No.-4, Block-BP, Sector-V, ,
											Salt Lake City Kolkata,WEST BENGAL,700091"
442,2XXXXXXXXXXXXXT,"Office Unit No 4,5,6,7,8 - DB City Mall,,
											5th Floor - Office Block, Arera Hills, ,
											Bhopal,MADHYA PRADESH,462011"
443,1XXXXXXXXXXXXX0,"2nd Floor, 214, 215, 216, Durga Ganesh Vedshree Arcade,,
											Khesra, Mauja Durga, Budha Colony, ,
											Patna,BIHAR,800001"
444,1XXXXXXXXXXXXX0,"Passport Seva Kendra, Block II, VAUS SPRINGS,,
											Ashiana Digha Road, Patna, ,
											Patna,BIHAR,800014"
445,0XXXXXXXXXXXXXJ,"Plot No. A-2B,
											Sector 125 ,
											Noida,UTTAR PRADESH,201301"
446,2XXXXXXXXXXXXXL,"C/o Om Logistics Ltd,
											Nirmal, Sonale Village, Mumbai Nashik Highway ,
											Taluk Bhiwandi,,MAHARASHTRA,421302"
447,0XXXXXXXXXXXXXB,"1ST FLOOR, BUILDING NO 1, VATIKA BUSINESS PARK,
											SONA ROAD ,
											GURGAON,HARYANA,122016"
448,1XXXXXXXXXXXXXI,"Kolkata IIT Kharagpur Research Park, Plot No. III-B/12,Action Area-III,,
											New Town, North 24 Parganas ,
											KOLKATA,WEST BENGAL,700156"
